timestamp_utc	tool	raw
2026-08-16T02:22:40+00:00	rocm-smi	||============================ ROCm System Management Interface ============================|====================================== Temperature =======================================|GPU[0]  : Temperature (Sensor junction) (C): 44.0|GPU[0]  : Temperature (Sensor memory) (C): 37.0|==========================================================================================|=================================== Power Consumption ====================================|GPU[0]  : Current Socket Graphics Package Power (W): 159.0|==========================================================================================|=================================== % time GPU is busy ===================================|GPU[0]  : GPU use (%): 0|==========================================================================================|================================== Memory Usage (Bytes) ==================================|GPU[0]  : VRAM Total Memory (B): 205822885888|GPU[0]  : VRAM Total Used Memory (B): 299687936|==========================================================================================|================================== End of ROCm SMI Log ===================================|
2026-08-16T02:22:42+00:00	rocm-smi	||============================ ROCm System Management Interface ============================|====================================== Temperature =======================================|GPU[0]  : Temperature (Sensor junction) (C): 44.0|GPU[0]  : Temperature (Sensor memory) (C): 37.0|==========================================================================================|=================================== Power Consumption ====================================|GPU[0]  : Current Socket Graphics Package Power (W): 159.0|==========================================================================================|=================================== % time GPU is busy ===================================|GPU[0]  : GPU use (%): 0|==========================================================================================|================================== Memory Usage (Bytes) ==================================|GPU[0]  : VRAM Total Memory (B): 205822885888|GPU[0]  : VRAM Total Used Memory (B): 299687936|==========================================================================================|================================== End of ROCm SMI Log ===================================|
2026-08-16T02:22:44+00:00	rocm-smi	||============================ ROCm System Management Interface ============================|====================================== Temperature =======================================|GPU[0]  : Temperature (Sensor junction) (C): 44.0|GPU[0]  : Temperature (Sensor memory) (C): 37.0|==========================================================================================|=================================== Power Consumption ====================================|GPU[0]  : Current Socket Graphics Package Power (W): 159.0|==========================================================================================|=================================== % time GPU is busy ===================================|GPU[0]  : GPU use (%): 0|==========================================================================================|================================== Memory Usage (Bytes) ==================================|GPU[0]  : VRAM Total Memory (B): 205822885888|GPU[0]  : VRAM Total Used Memory (B): 299687936|==========================================================================================|================================== End of ROCm SMI Log ===================================|
2026-08-16T02:22:46+00:00	rocm-smi	||============================ ROCm System Management Interface ============================|====================================== Temperature =======================================|GPU[0]  : Temperature (Sensor junction) (C): 44.0|GPU[0]  : Temperature (Sensor memory) (C): 37.0|==========================================================================================|=================================== Power Consumption ====================================|GPU[0]  : Current Socket Graphics Package Power (W): 159.0|==========================================================================================|=================================== % time GPU is busy ===================================|GPU[0]  : GPU use (%): 0|==========================================================================================|================================== Memory Usage (Bytes) ==================================|GPU[0]  : VRAM Total Memory (B): 205822885888|GPU[0]  : VRAM Total Used Memory (B): 299687936|==========================================================================================|================================== End of ROCm SMI Log ===================================|
2026-08-16T02:22:48+00:00	rocm-smi	||============================ ROCm System Management Interface ============================|====================================== Temperature =======================================|GPU[0]  : Temperature (Sensor junction) (C): 44.0|GPU[0]  : Temperature (Sensor memory) (C): 37.0|==========================================================================================|=================================== Power Consumption ====================================|GPU[0]  : Current Socket Graphics Package Power (W): 159.0|==========================================================================================|=================================== % time GPU is busy ===================================|GPU[0]  : GPU use (%): 0|==========================================================================================|================================== Memory Usage (Bytes) ==================================|GPU[0]  : VRAM Total Memory (B): 205822885888|GPU[0]  : VRAM Total Used Memory (B): 299687936|==========================================================================================|================================== End of ROCm SMI Log ===================================|
2026-08-16T02:22:50+00:00	rocm-smi	||============================ ROCm System Management Interface ============================|====================================== Temperature =======================================|GPU[0]  : Temperature (Sensor junction) (C): 44.0|GPU[0]  : Temperature (Sensor memory) (C): 37.0|==========================================================================================|=================================== Power Consumption ====================================|GPU[0]  : Current Socket Graphics Package Power (W): 158.0|==========================================================================================|=================================== % time GPU is busy ===================================|GPU[0]  : GPU use (%): 0|==========================================================================================|================================== Memory Usage (Bytes) ==================================|GPU[0]  : VRAM Total Memory (B): 205822885888|GPU[0]  : VRAM Total Used Memory (B): 299687936|==========================================================================================|================================== End of ROCm SMI Log ===================================|
2026-08-16T02:22:52+00:00	rocm-smi	||============================ ROCm System Management Interface ============================|====================================== Temperature =======================================|GPU[0]  : Temperature (Sensor junction) (C): 44.0|GPU[0]  : Temperature (Sensor memory) (C): 37.0|==========================================================================================|=================================== Power Consumption ====================================|GPU[0]  : Current Socket Graphics Package Power (W): 159.0|==========================================================================================|=================================== % time GPU is busy ===================================|GPU[0]  : GPU use (%): 0|==========================================================================================|================================== Memory Usage (Bytes) ==================================|GPU[0]  : VRAM Total Memory (B): 205822885888|GPU[0]  : VRAM Total Used Memory (B): 299687936|==========================================================================================|================================== End of ROCm SMI Log ===================================|
2026-08-16T02:22:55+00:00	rocm-smi	||============================ ROCm System Management Interface ============================|====================================== Temperature =======================================|GPU[0]  : Temperature (Sensor junction) (C): 44.0|GPU[0]  : Temperature (Sensor memory) (C): 37.0|==========================================================================================|=================================== Power Consumption ====================================|GPU[0]  : Current Socket Graphics Package Power (W): 159.0|==========================================================================================|=================================== % time GPU is busy ===================================|GPU[0]  : GPU use (%): 0|==========================================================================================|================================== Memory Usage (Bytes) ==================================|GPU[0]  : VRAM Total Memory (B): 205822885888|GPU[0]  : VRAM Total Used Memory (B): 299687936|==========================================================================================|================================== End of ROCm SMI Log ===================================|
2026-08-16T02:22:57+00:00	rocm-smi	||============================ ROCm System Management Interface ============================|====================================== Temperature =======================================|GPU[0]  : Temperature (Sensor junction) (C): 44.0|GPU[0]  : Temperature (Sensor memory) (C): 37.0|==========================================================================================|=================================== Power Consumption ====================================|GPU[0]  : Current Socket Graphics Package Power (W): 158.0|==========================================================================================|=================================== % time GPU is busy ===================================|GPU[0]  : GPU use (%): 0|==========================================================================================|================================== Memory Usage (Bytes) ==================================|GPU[0]  : VRAM Total Memory (B): 205822885888|GPU[0]  : VRAM Total Used Memory (B): 299687936|==========================================================================================|================================== End of ROCm SMI Log ===================================|
2026-08-16T02:22:59+00:00	rocm-smi	||============================ ROCm System Management Interface ============================|====================================== Temperature =======================================|GPU[0]  : Temperature (Sensor junction) (C): 44.0|GPU[0]  : Temperature (Sensor memory) (C): 37.0|==========================================================================================|=================================== Power Consumption ====================================|GPU[0]  : Current Socket Graphics Package Power (W): 158.0|==========================================================================================|=================================== % time GPU is busy ===================================|GPU[0]  : GPU use (%): 0|==========================================================================================|================================== Memory Usage (Bytes) ==================================|GPU[0]  : VRAM Total Memory (B): 205822885888|GPU[0]  : VRAM Total Used Memory (B): 299687936|==========================================================================================|================================== End of ROCm SMI Log ===================================|
